code,name,industry,lianban,prev_close,prev_pct,amplitude,turnover,volume_ratio,ma20,above_ma20,ma_bullish,is_finance,passed,total,failed
002172,澳洋健康,医疗服务,1,4.5,-4.66,8.05,23.87,0.88,4.03,True,True,False,7,7,
600828,茂业商业,一般零售,1,4.09,1.74,3.73,0.79,1.08,3.97,True,True,False,6,7,换手率>1%
605188,国光连锁,一般零售,1,13.37,10.04,10.53,2.32,2.77,12.7,True,False,False,6,7,涨幅-5%到10%
600127,金健米业,农产品加,1,11.77,9.18,10.11,45.07,1.14,7.41,True,True,False,7,7,
000711,京蓝科技,环境治理,1,6.25,0.32,2.89,3.56,0.67,5.81,True,True,False,6,7,量比>=0.8
600830,香溢融通,多元金融,1,8.42,-0.36,1.54,0.92,0.79,8.16,True,True,False,4,7,"振幅>2%,换手率>1%,量比>=0.8"
000564,供销大集,一般零售,1,1.56,2.63,5.26,3.03,1.63,1.46,True,False,False,6,7,价格2-50元
600785,新华百货,一般零售,1,12.42,6.61,13.73,25.13,1.71,9.59,True,True,False,7,7,
002470,金正大,农化制品,1,2.16,3.85,8.17,7.2,1.85,1.98,True,True,False,7,7,
002945,华林证券,证券Ⅱ,1,14.72,-0.2,3.19,0.75,1.54,14.46,True,False,True,5,7,"换手率>1%,非金融股"
002882,金龙羽,电网设备,1,22.03,-1.43,2.42,3.76,0.58,22.25,False,False,False,6,7,量比>=0.8
600354,敦煌种业,种植业,1,8.21,10.05,10.05,20.6,1.12,6.55,True,True,False,6,7,涨幅-5%到10%
300189,神农种业,种植业,1,6.62,-0.15,13.27,40.66,1.22,5.45,True,True,False,7,7,
920855,浙江大农,专用设备,1,13.51,5.55,12.89,3.47,5.36,12.53,True,False,False,7,7,
605300,佳禾食品,饮料乳品,1,9.85,1.86,3.0,0.67,1.25,9.79,True,False,False,6,7,换手率>1%
600121,郑州煤电,煤炭开采,2,4.46,4.45,5.62,9.26,1.15,4.05,True,True,False,7,7,
002041,登海种业,种植业,1,11.2,-0.27,9.44,11.49,1.28,9.54,True,True,False,7,7,
000721,西安饮食,酒店餐饮,1,6.95,1.02,2.47,3.6,0.82,6.64,True,True,False,7,7,
603123,翠微股份,多元金融,1,9.7,-2.12,3.13,4.38,0.45,9.45,True,False,False,6,7,量比>=0.8
002703,浙江世宝,汽车零部,1,16.58,-1.72,3.91,11.1,0.92,15.18,True,True,False,7,7,
603376,大明电子,汽车零部,1,25.77,-1.15,1.5,3.68,0.42,26.38,False,False,False,5,7,"振幅>2%,量比>=0.8"
