code,name,limit_date,prev_close,prev_pct,amplitude,turnover,volume_ratio,prev_amount,ma20,above_ma20,is_finance
000998,隆平高科,20260901,9.25,1.65,4.18,5.1,1.09,620376383.0,8.56,True,False
603293,埃泰克,20260901,35.92,1.04,2.05,4.2,1.66,52942165.0,36.28,False,False
002015,协鑫能科,20260901,16.01,-4.25,5.38,7.77,1.0,2047280400.0,15.56,True,False
601566,九牧王,20260901,8.4,0.36,1.31,0.88,1.16,42408844.0,8.47,False,False
600792,云煤能源,20260901,3.96,1.8,3.6,1.88,0.76,82164792.0,3.7,True,False
000596,古井贡酒,20260901,93.9,1.88,3.88,0.94,1.17,354684621.0,93.72,True,False
603207,小方制药,20260901,23.25,-1.27,1.78,4.0,0.61,50988307.0,23.45,False,False
300927,江天化学,20260901,31.44,2.04,12.33,18.31,1.1,800085764.0,24.68,True,False
001330,博纳影业,20260901,5.1,-0.2,2.54,3.39,0.68,201209350.0,5.07,True,False
600967,内蒙一机,20260901,11.1,-1.16,1.69,1.29,1.61,242302623.0,11.36,False,False
002291,遥望科技,20260901,5.2,0.39,1.54,2.28,1.26,103547008.0,5.42,False,False
600318,新力金融,20260901,6.88,-0.86,2.45,2.92,1.06,103039445.0,6.59,True,False
002349,精华制药,20260901,7.89,10.04,11.02,5.19,2.73,325503401.0,7.0,True,False
000011,深物业A,20260831,9.15,9.98,10.7,2.3,1.96,107880201.0,8.2,True,False
000965,天保基建,20260831,3.29,2.49,4.36,1.87,1.44,67920620.0,3.18,True,False
002133,广宇集团,20260831,2.82,1.44,3.24,1.52,0.97,32885964.0,2.7,True,False
002375,亚厦股份,20260831,3.7,0.54,1.63,0.79,0.9,38572367.0,3.61,True,False
002886,沃特股份,20260831,26.4,10.0,0.0,2.03,0.15,112054800.0,20.44,True,False
002098,浔兴股份,20260831,7.41,1.79,2.75,1.0,1.12,26604616.0,7.01,True,False
000712,锦龙股份,20260831,11.8,9.97,0.0,1.69,0.41,178845225.0,9.37,True,False
002534,西子洁能,20260831,15.02,-0.53,3.31,1.07,1.2,132333488.0,15.45,False,False
002169,智光电气,20260831,12.19,-0.81,2.12,1.58,0.85,146208477.0,12.61,False,False
600691,潞化科技,20260831,2.94,10.11,10.86,3.41,2.22,230246334.0,2.54,True,False
001221,悍高集团,20260831,37.52,-1.91,1.8,3.0,0.82,86772060.0,39.97,False,False
601882,海天精工,20260831,19.92,-0.6,2.3,0.95,1.12,99398922.0,20.16,False,False
600110,诺德股份,20260831,10.94,-5.69,4.4,12.39,0.86,2393075537.0,10.31,True,False
603270,金帝股份,20260831,27.5,-1.96,4.74,5.41,1.27,107499467.0,27.56,False,False
600227,赤天化,20260831,4.58,10.1,11.06,28.89,1.35,1600591549.0,3.66,True,False
603269,海鸥股份,20260831,22.18,10.02,5.95,3.59,0.69,341607946.0,16.73,True,False
605287,德才股份,20260831,37.8,2.0,6.5,2.92,1.56,156876004.0,38.36,False,False
603216,梦天家居,20260831,20.59,0.0,2.91,1.07,0.79,49152551.0,20.75,False,False
601330,绿色动力,20260831,7.1,0.42,1.27,0.77,1.38,54083135.0,7.13,False,False
603893,瑞芯微,20260831,176.9,-2.47,2.64,1.71,0.85,1298444806.0,192.68,False,False
603978,深圳新星,20260831,19.02,0.48,2.48,3.23,1.1,130448304.0,19.24,False,False
301151,冠龙节能,20260831,17.28,0.76,5.83,1.76,1.22,51887102.0,16.79,True,False
002081,金 螳 螂,20260831,5.6,-1.58,4.75,12.49,0.83,1859666709.0,4.9,True,False
603989,艾华集团,20260831,28.6,0.78,6.62,5.54,1.4,644803593.0,28.53,True,False
003018,金富科技,20260831,44.89,-4.59,6.35,7.95,1.11,1033279237.0,40.61,True,False
002909,集泰股份,20260831,5.47,1.86,3.72,3.76,1.97,77349642.0,5.17,True,False
002903,宇环数控,20260831,28.95,-0.92,7.8,19.92,0.98,633892986.0,28.82,True,False
003036,泰坦股份,20260831,54.19,0.43,7.17,4.07,1.41,486612340.0,52.78,True,False
002328,新朋股份,20260831,7.73,-0.39,2.71,7.7,1.6,340878252.0,7.26,True,False
002830,名雕股份,20260831,14.34,0.49,2.31,2.62,1.01,34794808.0,13.7,True,False
002418,康盛股份,20260831,4.9,-0.2,11.61,42.89,4.25,2521907992.0,3.92,True,False
002921,联诚精密,20260831,21.11,-0.24,3.21,3.27,1.09,89297276.0,22.26,False,False
002141,贤丰控股,20260831,6.45,2.87,5.26,14.76,1.16,973082215.0,6.29,True,False
603358,华达科技,20260831,45.2,-5.2,10.19,3.09,1.57,653509800.0,43.81,True,False
002881,美格智能,20260831,40.82,-1.07,7.08,7.52,1.76,573674074.0,38.63,True,False
600722,金牛化工,20260831,15.27,10.01,12.75,20.7,1.02,2059541721.0,12.61,True,False
603559,中通国脉,20260831,9.58,9.99,10.1,7.03,2.85,266944404.0,9.04,True,False
920223,荣亿精密,20260831,12.18,12.99,15.49,10.23,3.35,99528283.0,11.21,True,False
603178,圣龙股份,20260831,16.23,-1.52,3.09,2.68,0.89,103646447.0,16.96,False,False
002660,茂硕电源,20260831,7.62,1.06,2.25,1.11,0.81,29292388.0,7.28,True,False
603685,晨丰科技,20260831,24.03,-0.21,2.91,0.91,1.37,43576662.0,25.67,False,False
301231,荣信文化,20260831,26.07,-1.29,3.07,4.78,0.91,82493960.0,27.28,False,False
601595,上海电影,20260831,16.66,0.0,1.5,0.62,0.56,46027409.0,17.25,False,False
603058,永吉股份,20260831,9.38,1.19,3.45,1.26,0.94,48844374.0,9.56,False,False
301218,华是科技,20260831,48.45,6.25,12.37,22.4,0.97,776993555.0,44.43,True,False
605118,力鼎光电,20260831,29.84,1.22,4.68,1.15,1.9,141174394.0,29.23,True,False
300364,中文在线,20260831,22.73,0.66,4.3,7.95,1.6,1202568294.0,24.26,False,False
603950,长源东谷,20260831,59.85,-8.11,8.05,3.67,1.25,730473393.0,59.69,True,False
920021,流金科技,20260831,6.81,1.79,3.74,6.42,2.44,108733899.0,7.02,False,False
603201,常润股份,20260831,14.88,0.27,1.62,1.19,0.88,33184306.0,15.86,False,False
603113,金能科技,20260831,5.52,3.56,3.94,4.72,1.07,217505699.0,4.87,True,False
601929,吉视传媒,20260831,2.34,0.43,1.29,1.52,1.02,123512762.0,2.39,False,False
301262,海看股份,20260831,18.61,0.27,1.45,2.71,0.94,61580444.0,19.53,False,False
603139,康惠股份,20260831,34.63,-2.26,2.77,1.34,0.9,46949898.0,35.24,False,False
002303,美盈森,20260831,5.17,1.77,7.09,4.42,1.18,246331335.0,5.05,True,False
603068,博通集成,20260831,35.74,-1.95,3.57,5.35,0.88,294854030.0,39.29,False,False
300911,亿田智能,20260831,22.19,0.23,4.65,5.31,0.67,202776873.0,22.46,False,False
600246,万通发展,20260831,12.12,-2.81,5.37,4.24,0.86,989055163.0,12.12,False,False
603090,宏盛股份,20260831,38.3,-1.06,5.06,2.3,0.97,89475746.0,38.68,False,False
002757,南兴股份,20260831,15.89,-0.31,2.82,3.85,1.44,175547092.0,16.92,False,False
600671,天目药业,20260831,20.78,2.87,5.99,2.64,1.91,66569526.0,21.17,False,False
002875,安奈儿,20260831,13.17,1.7,2.16,1.78,0.92,49670390.0,13.45,False,False
002396,星网锐捷,20260831,36.69,10.01,9.87,15.16,1.38,4141078935.0,30.78,True,False
000977,浪潮信息,20260831,77.44,-1.06,3.13,3.49,1.01,4007312551.0,76.28,True,False
603313,梦百合,20260831,6.13,1.32,3.31,3.27,1.57,113940537.0,6.11,True,False
603001,奥康国际,20260831,8.21,-1.32,2.52,2.08,0.76,69108022.0,7.66,True,False
002008,大族激光,20260831,87.62,-2.64,3.67,2.63,0.75,2239803500.0,92.12,False,False
603236,移远通信,20260831,56.04,-1.02,2.54,1.77,0.62,407480414.0,54.37,True,False
603459,红板科技,20260831,86.34,-3.48,3.94,13.09,1.1,909319777.0,92.31,False,False
601136,首创证券,20260831,14.42,0.77,2.17,0.51,1.46,201114555.0,14.31,True,True
603297,永新光学,20260831,105.33,-1.82,2.83,0.85,0.86,100288413.0,103.69,True,False
002942,新农股份,20260828,19.01,10.01,0.0,1.63,0.86,42953665.0,15.71,True,False
600378,昊华科技,20260828,48.46,10.01,7.4,2.79,0.69,1436979563.0,45.98,True,False
600654,中安科,20260828,3.3,10.0,8.33,4.37,2.18,326401385.0,2.96,True,False
002631,德尔未来,20260828,9.18,3.85,7.47,4.37,0.89,313251082.0,8.44,True,False
002742,冀衡医药,20260828,5.67,10.1,0.0,1.9,0.24,56422737.0,4.27,True,False
002354,天娱数科,20260828,7.14,1.56,2.28,9.93,1.17,1150695714.0,7.68,False,False
603900,莱绅通灵,20260828,7.14,10.02,12.48,8.09,1.18,192416318.0,6.18,True,False
300378,鼎捷数智,20260828,31.21,3.41,4.04,2.85,0.93,236989745.0,34.3,False,False
002279,久其软件,20260828,6.41,0.94,1.57,2.0,0.78,101842599.0,6.75,False,False
000017,深中华A,20260828,10.41,10.04,8.88,13.51,1.32,605589528.0,6.76,True,False
000059,华锦股份,20260828,5.06,5.42,7.71,3.34,0.87,263444053.0,4.69,True,False
600929,雪天盐业,20260828,5.49,2.23,4.1,1.26,1.19,112587374.0,5.33,True,False
600479,千金药业,20260828,12.12,9.98,4.72,25.82,10.64,1300882233.0,10.05,True,False
603045,福达合金,20260828,56.53,4.61,6.88,7.54,1.04,564848419.0,53.8,True,False
600162,香江控股,20260828,4.87,9.93,10.61,4.13,0.78,634967805.0,4.06,True,False
002212,天融信,20260828,6.3,1.29,2.41,3.43,1.34,250551465.0,6.55,False,False
688152,麒麟信安,20260828,31.7,2.32,3.81,3.99,0.71,128530998.0,30.39,True,False
002165,红 宝 丽,20260828,7.61,2.15,10.2,17.54,0.79,971228233.0,7.07,True,False
001288,运机集团,20260828,25.87,-0.15,3.05,1.83,0.77,71624608.0,26.35,False,False
603778,国晟科技,20260828,9.42,0.75,2.46,3.29,0.86,197811150.0,10.11,False,False
603016,新宏泰,20260828,28.81,-0.31,1.73,1.76,0.48,74566271.0,29.16,False,False
002918,蒙娜丽莎,20260828,10.3,2.28,2.98,5.04,1.16,109509408.0,9.91,True,False
002952,亚世光电,20260828,19.81,1.75,5.29,3.45,2.07,91274016.0,19.7,True,False
603011,合锻智能,20260828,25.14,10.02,13.79,10.52,1.45,1242142163.0,22.81,True,False
603082,北自科技,20260828,40.55,-2.94,4.69,13.28,1.1,218853637.0,40.01,True,False
603007,顺景科技,20260828,4.88,-0.2,2.25,1.97,0.83,66819559.0,4.77,True,False
002971,和远气体,20260828,42.8,3.18,4.89,9.86,1.13,676660183.0,42.25,True,False
605006,山东玻纤,20260828,14.13,3.14,3.87,3.66,1.08,335788957.0,14.2,False,False
002107,沃华医药,20260828,6.57,2.66,4.69,2.73,1.4,102221053.0,6.22,True,False
603171,税友股份,20260828,40.31,0.05,1.76,1.45,1.06,235894781.0,45.19,False,False
002229,鸿博股份,20260828,11.17,2.1,3.66,9.04,0.99,495619943.0,11.46,False,False
601003,柳钢股份,20260828,3.68,-0.81,2.16,0.6,1.18,56682209.0,3.78,False,False
601700,风范股份,20260828,7.62,-1.04,7.66,17.35,1.08,1530352965.0,6.9,True,False
601222,林洋能源,20260828,5.54,-0.36,1.98,0.78,1.4,88095492.0,5.61,False,False
002949,华阳国际,20260828,12.8,-6.43,5.85,20.17,2.47,395843429.0,10.92,True,False
001376,百通能源,20260828,10.53,0.0,1.52,2.82,0.79,63361295.0,11.1,False,False
000798,中水渔业,20260828,9.2,0.22,1.74,4.44,0.89,149429193.0,8.47,True,False
000716,黑芝麻,20260828,5.15,3.0,3.4,5.92,0.77,222657225.0,4.94,True,False
603608,天创时尚,20260828,17.91,1.24,3.56,2.4,0.77,182298172.0,18.66,False,False
002915,中欣氟材,20260828,17.15,2.57,4.01,2.18,1.34,107686194.0,17.39,False,False
002578,闽发铝业,20260828,3.94,-1.5,2.5,3.0,0.72,101798790.0,3.54,True,False
000062,深圳华强,20260828,22.59,2.12,2.44,1.58,1.38,370057946.0,22.79,False,False
603029,天鹅股份,20260828,16.62,2.72,6.98,4.44,2.32,89372090.0,15.56,True,False
920895,花溪科技,20260828,16.25,30.0,30.56,24.69,13.15,107431847.0,12.92,True,False
603396,金辰股份,20260828,29.0,1.97,10.51,12.1,6.05,477305487.0,25.75,True,False
605566,福莱蒽特,20260828,25.92,2.17,3.74,1.93,1.16,65721400.0,25.53,True,False
000626,远大控股,20260828,8.55,4.01,6.2,3.12,0.98,133887301.0,7.81,True,False
000567,海德股份,20260828,6.37,3.07,4.85,1.58,1.96,193736778.0,6.14,True,False
003030,祖名股份,20260828,21.92,0.0,2.01,3.26,1.03,58479389.0,22.07,False,False
600815,厦工股份,20260828,4.05,5.74,8.09,4.73,1.48,322017588.0,3.67,True,False
002427,尤夫股份,20260828,4.72,-1.87,2.29,5.18,1.1,240166803.0,4.44,True,False
600251,冠农股份,20260828,10.7,1.9,3.33,3.19,1.28,265482008.0,9.9,True,False
603086,先达股份,20260828,5.75,0.88,1.93,1.77,1.12,44025018.0,5.62,True,False
000925,众合科技,20260828,8.53,0.35,7.18,9.23,1.47,525226754.0,7.88,True,False
600689,上海三毛,20260828,11.11,0.63,2.26,1.2,0.76,20232377.0,10.53,True,False
002486,嘉麟杰,20260828,2.68,-0.74,2.22,3.51,1.31,76988435.0,2.49,True,False
688209,英集芯,20260828,24.62,9.86,10.08,4.56,2.06,473811290.0,22.05,True,False
600714,金瑞矿业,20260828,17.38,0.35,5.48,15.2,1.41,743226788.0,15.39,True,False
000912,泸天化,20260828,3.96,1.54,2.82,2.11,0.84,130222777.0,3.72,True,False
002437,誉衡药业,20260828,4.42,6.76,9.66,36.15,1.21,3366709896.0,3.85,True,False
000565,渝三峡Ａ,20260828,6.02,-0.17,1.33,1.62,0.53,42179471.0,5.97,True,False
