序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
59,603207,小方制药,10.004331588745117,25.4,140415190,1386914828.3999999,4109302474.7999997,10.35485553741455,72024240,102446,102446,0,1/1,1,化学制药,20260901
60,300927,江天化学,20.0,34.92,856278960,4919841435.6,5041051200.0,18.90243911743164,241292520,103903,103903,0,1/1,1,化学原料,20260901
61,001330,博纳影业,9.98217487335205,6.17,1379684128,7174767976.74,8480782180.64,20.19405174255371,121896988,104933,112936,1,2/2,2,影视院线,20260901
62,600967,内蒙一机,10.018051147460938,12.19,665658928,20744876990.73,20744877051.68,3.3021042346954346,345991585,105105,105105,0,1/1,1,地面兵装,20260901
63,002291,遥望科技,10.073260307312012,6.01,590331184,5223442872.7,5620133415.5199995,11.803174018859863,209823524,105657,105657,0,1/1,1,广告营销,20260901
64,600318,新力金融,9.985315322875977,7.49,198183247,3840329963.6800003,3840329963.6800003,5.357879161834717,89512241,110735,110753,1,1/1,1,多元金融,20260901
65,002349,精华制药,10.0,8.36,607075216,6806552390.879999,6948232621.44,9.464973449707031,384221545,112212,112212,0,3/2,1,中药Ⅱ,20260901
1,002084,海鸥住工,10.0,6.38,39838028,4112767739.96,4121837586.24,0.9686427712440491,330898030,092500,092500,0,6/6,6,家居用品,20260831
2,600371,万向德农,9.965337753295898,12.69,174057944,3712814820.0,3712814820.0,4.6880316734313965,141811384,092500,092500,0,10/7,5,种植业,20260831
3,000011,深物业A,10.054644584655762,10.07,115646357,5301608718.01,6001509416.16,2.181344747543335,93488873,092500,092500,0,2/2,2,房地产开,20260831
4,002679,福建金森,10.028116226196289,11.74,59436861,2767775440.0,2767775440.0,2.1474597454071045,353959062,092500,092500,0,2/2,2,林业Ⅱ,20260831
5,000560,我爱我家,9.848484992980957,2.9,185611600,6793795545.099999,6830952459.2,2.7320752143859863,458788700,092500,092500,0,5/3,2,房地产服,20260831
6,000965,天保基建,10.030394554138184,3.62,480043392,4017587839.9,4017587843.52,12.123248100280762,13143640,092500,145027,4,1/1,1,房地产开,20260831
7,002133,广宇集团,9.929078102111816,3.1,96606416,2386597623.1,2399846945.6,4.047872066497803,31150784,092500,092500,0,1/1,1,房地产开,20260831
