code,name,industry,lianban,limit_up_date,prev_close,prev_pct,prev_amplitude,prev_turnover,prev_volume_ratio,limit_pct,limit_gap,pct_3d,pct_5d,up_days,ma_bullish,above_ma20,ma5,ma10,ma20
603178,圣龙股份,汽车零部,1,20260831,16.23,-1.52,3.09,2.68,0.89,9.98,-1.36,-2.23,1.0,0,False,False,16.41,16.56,16.96
002660,茂硕电源,消费电子,1,20260831,7.62,1.06,2.25,1.11,0.81,9.97,0.0,0.66,2.83,1,True,True,7.53,7.48,7.28
603685,晨丰科技,光学光电,1,20260831,24.03,-0.21,2.91,0.91,1.37,9.99,-1.12,-1.92,-3.18,0,False,False,24.25,24.91,25.67
301231,荣信文化,出版,1,20260831,26.07,-1.29,3.07,4.78,0.91,19.98,5.1,-3.52,-3.77,0,False,False,26.49,27.15,27.28
601595,上海电影,影视院线,1,20260831,16.66,0.0,1.5,0.62,0.56,10.02,3.0,1.4,2.21,0,False,False,16.47,16.49,17.25
603058,永吉股份,包装印刷,1,20260831,9.38,1.19,3.45,1.26,0.94,10.02,-0.32,2.96,4.92,4,False,False,9.15,9.21,9.56
301218,华是科技,IT服务Ⅱ,1,20260831,48.45,6.25,12.37,22.4,0.97,20.0,2.17,1.96,14.62,1,True,True,46.75,44.68,44.43
605118,力鼎光电,计算机设,1,20260831,29.84,1.22,4.68,1.15,1.9,9.99,-1.51,4.01,2.9,2,False,True,28.96,29.24,29.23
300364,中文在线,数字媒体,1,20260831,22.73,0.66,4.3,7.95,1.6,20.02,1.72,-0.83,-1.56,2,False,False,22.51,23.08,24.26
603950,长源东谷,汽车零部,1,20260831,59.85,-8.11,8.05,3.67,1.25,10.01,-2.07,-7.82,-0.28,0,True,True,63.31,62.17,59.69
920021,流金科技,电视广播,1,20260831,6.81,1.79,3.74,6.42,2.44,29.96,-0.44,2.87,3.65,4,False,False,6.64,6.66,7.02
603201,常润股份,汽车零部,1,20260831,14.88,0.27,1.62,1.19,0.88,10.01,1.75,-0.4,-1.65,2,False,False,14.83,15.18,15.86
603113,金能科技,化学原料,1,20260831,5.52,3.56,3.94,4.72,1.07,9.96,-0.18,0.73,8.45,2,True,True,5.32,5.17,4.87
601929,吉视传媒,电视广播,1,20260831,2.34,0.43,1.29,1.52,1.02,9.83,-0.85,0.43,2.18,1,False,False,2.32,2.32,2.39
301262,海看股份,广告营销,1,20260831,18.61,0.27,1.45,2.71,0.94,19.99,5.21,-0.05,0.22,1,False,False,18.48,18.91,19.53
603139,康惠股份,中药Ⅱ,1,20260831,34.63,-2.26,2.77,1.34,0.9,9.99,-0.92,0.99,-0.72,0,False,False,34.52,35.2,35.24
002303,美盈森,包装印刷,1,20260831,5.17,1.77,7.09,4.42,1.18,10.06,-0.39,5.73,9.77,2,False,True,4.94,4.89,5.05
603068,博通集成,半导体,1,20260831,35.74,-1.95,3.57,5.35,0.88,9.99,-1.76,-2.22,-7.41,0,False,False,36.31,38.68,39.29
300911,亿田智能,厨卫电器,1,20260831,22.19,0.23,4.65,5.31,0.67,20.01,-0.27,-0.63,-9.02,1,False,False,22.15,23.19,22.46
600246,万通发展,房地产开,1,20260831,12.12,-2.81,5.37,4.24,0.86,9.98,2.97,5.39,0.0,0,False,False,11.84,12.21,12.12
603090,宏盛股份,通用设备,1,20260831,38.3,-1.06,5.06,2.3,0.97,10.0,-1.17,-0.67,1.59,0,False,False,38.17,38.27,38.68
002757,南兴股份,专用设备,1,20260831,15.89,-0.31,2.82,3.85,1.44,10.01,2.58,-0.81,-1.3,0,False,False,15.86,16.34,16.92
600671,天目药业,中药Ⅱ,1,20260831,20.78,2.87,5.99,2.64,1.91,10.01,-3.08,4.32,1.32,4,False,False,20.18,20.62,21.17
002875,安奈儿,服装家纺,1,20260831,13.17,1.7,2.16,1.78,0.92,10.02,0.08,0.38,-0.08,1,False,False,13.05,13.22,13.45
002396,星网锐捷,通信设备,3,20260831,36.69,10.01,9.87,15.16,1.38,10.0,-2.15,18.97,10.61,2,True,True,32.66,32.27,30.78
000977,浪潮信息,计算机设,1,20260831,77.44,-1.06,3.13,3.49,1.01,9.99,-1.37,4.49,1.43,0,False,True,75.37,76.28,76.28
603313,梦百合,家居用品,1,20260831,6.13,1.32,3.31,3.27,1.57,9.95,-1.14,0.0,0.82,1,False,True,6.09,6.12,6.11
603001,奥康国际,服装家纺,1,20260831,8.21,-1.32,2.52,2.08,0.76,9.99,-0.49,1.11,-0.48,0,True,True,8.18,8.07,7.66
002008,大族激光,自动化设,1,20260831,87.62,-2.64,3.67,2.63,0.75,10.0,-1.31,3.02,-3.61,0,False,False,86.89,90.39,92.12
603236,移远通信,通信设备,1,20260831,56.04,-1.02,2.54,1.77,0.62,9.99,-0.2,-0.21,-2.56,0,False,True,55.92,57.66,54.37
603459,红板科技,元件,1,20260831,86.34,-3.48,3.94,13.09,1.1,10.0,-3.83,-0.8,-1.04,0,False,False,87.08,89.08,92.31
601136,首创证券,证券Ⅱ,1,20260831,14.42,0.77,2.17,0.51,1.46,9.99,0.0,4.34,5.03,4,False,True,14.07,13.99,14.31
603297,永新光学,光学光电,1,20260831,105.33,-1.82,2.83,0.85,0.86,10.0,-1.32,0.19,-1.44,0,False,True,105.9,106.25,103.69
002942,新农股份,农化制品,3,20260828,19.01,10.01,0.0,1.63,0.86,9.99,9.99,20.78,20.01,2,True,True,16.72,16.19,15.71
600378,昊华科技,化学制品,2,20260828,48.46,10.01,7.4,2.79,0.69,10.01,10.01,9.64,8.8,2,False,True,45.46,46.58,45.98
600654,中安科,软件开发,2,20260828,3.3,10.0,8.33,4.37,2.18,10.0,10.0,14.98,15.79,4,False,True,3.0,2.94,2.96
002742,冀衡医药,化学制药,4,20260828,5.67,10.1,0.0,1.9,0.24,10.05,10.05,33.41,30.65,4,True,True,4.76,4.57,4.27
002631,德尔未来,家居用品,1,20260828,9.18,3.85,7.47,4.37,0.89,10.02,9.91,5.15,5.88,3,True,True,9.02,8.96,8.44
002354,天娱数科,广告营销,1,20260828,7.14,1.56,2.28,9.93,1.17,9.94,9.94,2.73,-2.06,1,False,False,7.08,7.44,7.68
603900,莱绅通灵,饰品,2,20260828,7.14,10.02,12.48,8.09,1.18,9.94,9.94,12.62,15.35,1,True,True,6.59,6.35,6.18
300378,鼎捷数智,软件开发,1,20260828,31.21,3.41,4.04,2.85,0.93,19.99,13.94,3.28,-3.7,1,False,False,30.95,32.77,34.3
002279,久其软件,软件开发,1,20260828,6.41,0.94,1.57,2.0,0.78,9.98,2.96,3.55,1.26,1,False,False,6.32,6.52,6.75
000017,深中华A,饰品,7,20260828,10.41,10.04,8.88,13.51,1.32,9.99,7.4,33.12,61.15,4,True,True,8.68,7.38,6.76
000059,华锦股份,炼化及贸,1,20260828,5.06,5.42,7.71,3.34,0.87,10.08,1.78,8.58,3.9,3,True,True,4.8,4.77,4.69
600929,雪天盐业,化学原料,1,20260828,5.49,2.23,4.1,1.26,1.19,10.02,1.64,5.58,4.17,3,False,True,5.32,5.29,5.33
603045,福达合金,金属新材,1,20260828,56.53,4.61,6.88,7.54,1.04,9.99,0.0,0.36,8.63,1,True,True,55.73,55.11,53.8
600162,香江控股,房地产开,2,20260828,4.87,9.93,10.61,4.13,0.78,10.06,4.72,19.95,16.23,3,True,True,4.37,4.35,4.06
002212,天融信,软件开发,1,20260828,6.3,1.29,2.41,3.43,1.34,10.0,5.71,4.3,1.78,1,False,False,6.21,6.31,6.55
688152,麒麟信安,软件开发,1,20260828,31.7,2.32,3.81,3.99,0.71,20.0,6.85,-0.38,-10.8,1,False,True,31.82,32.49,30.39
002165,红 宝 丽,化学制品,1,20260828,7.61,2.15,10.2,17.54,0.79,9.99,-1.05,-5.7,-2.31,1,True,True,7.73,7.45,7.07
001288,运机集团,专用设备,1,20260828,25.87,-0.15,3.05,1.83,0.77,10.01,-2.13,-0.54,7.75,0,False,False,25.95,25.67,26.35
603778,国晟科技,光伏设备,1,20260828,9.42,0.75,2.46,3.29,0.86,9.98,0.0,1.62,0.75,1,False,False,9.37,9.71,10.11
603016,新宏泰,电网设备,1,20260828,28.81,-0.31,1.73,1.76,0.48,10.0,0.0,-0.14,-6.1,0,False,False,29.09,29.17,29.16
002918,蒙娜丽莎,家居用品,1,20260828,10.3,2.28,2.98,5.04,1.16,10.0,0.97,4.99,3.1,1,True,True,10.09,10.07,9.91
002952,亚世光电,光学光电,1,20260828,19.81,1.75,5.29,3.45,2.07,9.99,0.4,1.43,-0.2,1,False,True,19.69,19.85,19.7
603011,合锻智能,专用设备,2,20260828,25.14,10.02,13.79,10.52,1.45,9.98,0.16,10.8,7.53,3,False,True,23.45,24.0,22.81
603082,北自科技,自动化设,1,20260828,40.55,-2.94,4.69,13.28,1.1,10.01,-0.59,-3.15,2.81,0,True,True,41.7,41.56,40.01
603007,顺景科技,汽车零部,1,20260828,4.88,-0.2,2.25,1.97,0.83,10.04,2.05,7.96,6.32,0,False,True,4.73,4.72,4.77
002971,和远气体,化学制品,1,20260828,42.8,3.18,4.89,9.86,1.13,10.0,1.82,-2.37,1.01,1,False,True,43.51,44.2,42.25
605006,山东玻纤,玻璃玻纤,1,20260828,14.13,3.14,3.87,3.66,1.08,9.98,0.07,2.76,1.29,1,False,False,13.9,14.39,14.2
603171,税友股份,IT服务Ⅱ,1,20260828,40.31,0.05,1.76,1.45,1.06,10.0,3.89,-2.8,-6.99,1,False,False,41.16,42.84,45.19
002229,鸿博股份,IT服务Ⅱ,1,20260828,11.17,2.1,3.66,9.04,0.99,10.03,0.0,4.69,3.23,3,False,False,10.94,11.58,11.46
601003,柳钢股份,普钢,1,20260828,3.68,-0.81,2.16,0.6,1.18,10.05,-0.27,1.94,2.22,0,False,False,3.65,3.66,3.78
601700,风范股份,电网设备,1,20260828,7.62,-1.04,7.66,17.35,1.08,9.97,-2.23,-1.17,1.6,0,True,True,7.51,7.3,6.9
601222,林洋能源,电网设备,1,20260828,5.54,-0.36,1.98,0.78,1.4,9.93,5.23,1.09,1.47,0,False,False,5.51,5.51,5.61
002949,华阳国际,工程咨询,1,20260828,12.8,-6.43,5.85,20.17,2.47,10.0,-1.8,13.17,19.18,0,True,True,12.2,11.42,10.92
001376,百通能源,电力,1,20260828,10.53,0.0,1.52,2.82,0.79,9.97,1.99,2.03,1.84,0,False,False,10.44,10.65,11.1
000798,中水渔业,渔业,1,20260828,9.2,0.22,1.74,4.44,0.89,10.0,0.87,5.75,8.49,3,True,True,8.96,8.75,8.47
000716,黑芝麻,休闲食品,1,20260828,5.15,3.0,3.4,5.92,0.77,10.1,-0.19,9.11,2.59,1,False,True,4.94,5.11,4.94
603608,天创时尚,服装家纺,1,20260828,17.91,1.24,3.56,2.4,0.77,9.99,2.51,-0.5,0.22,1,False,False,17.97,18.59,18.66
002915,中欣氟材,化学制品,1,20260828,17.15,2.57,4.01,2.18,1.34,10.03,1.46,3.31,1.72,1,False,False,16.83,17.19,17.39
002578,闽发铝业,工业金属,1,20260828,3.94,-1.5,2.5,3.0,0.72,9.9,0.0,1.29,5.07,0,True,True,3.91,3.84,3.54
000062,深圳华强,其他电子,1,20260828,22.59,2.12,2.44,1.58,1.38,10.0,0.62,3.29,1.57,1,False,False,22.22,22.65,22.79
603029,天鹅股份,专用设备,1,20260828,16.62,2.72,6.98,4.44,2.32,9.99,-0.9,4.59,4.66,1,True,True,16.15,15.99,15.56
603396,金辰股份,光伏设备,1,20260828,29.0,1.97,10.51,12.1,6.05,10.0,-1.1,13.59,13.5,3,True,True,26.89,26.48,25.75
605566,福莱蒽特,化学制品,1,20260828,25.92,2.17,3.74,1.93,1.16,9.99,-0.5,3.27,1.49,1,False,True,25.56,25.97,25.53
000626,远大控股,物流,1,20260828,8.55,4.01,6.2,3.12,0.98,10.06,0.0,6.08,2.52,1,True,True,8.24,8.1,7.81
000567,海德股份,多元金融,1,20260828,6.37,3.07,4.85,1.58,1.96,10.05,2.04,8.52,5.81,3,False,True,6.07,6.07,6.14
003030,祖名股份,农产品加,1,20260828,21.92,0.0,2.01,3.26,1.03,9.99,-0.23,0.55,-0.23,0,False,False,21.87,22.02,22.07
600815,厦工股份,工程机械,1,20260828,4.05,5.74,8.09,4.73,1.48,10.12,-0.25,4.92,3.58,1,False,True,3.91,3.94,3.67
002427,尤夫股份,化学纤维,1,20260828,4.72,-1.87,2.29,5.18,1.1,9.96,0.0,2.83,2.39,0,True,True,4.64,4.53,4.44
600251,冠农股份,农产品加,1,20260828,10.7,1.9,3.33,3.19,1.28,10.0,1.96,5.21,1.81,3,True,True,10.41,10.27,9.9
603086,先达股份,农化制品,1,20260828,5.75,0.88,1.93,1.77,1.12,10.09,0.35,3.23,1.95,3,False,True,5.66,5.67,5.62
000925,众合科技,轨交设备,1,20260828,8.53,0.35,7.18,9.23,1.47,9.96,-1.88,-4.91,8.66,2,True,True,8.5,8.22,7.88
600689,上海三毛,综合Ⅱ,1,20260828,11.11,0.63,2.26,1.2,0.76,9.99,-0.09,4.52,3.64,3,True,True,10.91,10.75,10.53
002486,嘉麟杰,服装家纺,1,20260828,2.68,-0.74,2.22,3.51,1.31,10.07,0.37,5.1,4.69,0,True,True,2.64,2.61,2.49
688209,英集芯,半导体,1,20260828,24.62,9.86,10.08,4.56,2.06,19.98,-2.92,10.4,12.52,1,True,True,22.97,22.63,22.05
600714,金瑞矿业,化学原料,1,20260828,17.38,0.35,5.48,15.2,1.41,10.01,-0.69,10.77,17.83,4,True,True,16.66,16.13,15.39
000912,泸天化,农化制品,1,20260828,3.96,1.54,2.82,2.11,0.84,10.1,0.76,3.94,6.17,1,True,True,3.87,3.78,3.72
002437,誉衡药业,化学制药,1,20260828,4.42,6.76,9.66,36.15,1.21,9.95,0.9,12.18,-6.55,1,False,True,4.23,4.44,3.85
000565,渝三峡Ａ,化学制品,1,20260828,6.02,-0.17,1.33,1.62,0.53,9.97,0.33,1.52,0.0,0,False,True,6.0,6.02,5.97
002155,湖南黄金,贵金属,1,20260827,24.56,-1.84,4.76,3.06,1.1,10.02,10.02,-0.37,-5.06,0,False,True,24.81,25.36,24.15
600613,神奇制药,化学制药,1,20260827,10.55,2.73,6.62,29.03,1.04,10.05,10.05,17.22,35.6,4,True,True,9.66,8.31,6.68
603237,五芳斋,食品加工,1,20260827,14.44,0.56,2.23,0.54,0.89,9.97,8.73,2.05,2.12,3,False,True,14.28,14.3,14.33
000890,法尔胜,环保设备,2,20260827,7.98,10.07,10.07,4.33,1.59,10.03,6.14,9.32,13.35,2,False,True,7.34,7.34,7.29
000576,甘化科工,地面兵装,1,20260827,7.27,0.69,1.8,1.54,1.03,10.04,5.36,1.96,2.83,2,False,True,7.17,7.2,7.13
301666,大普微-UW,计算机设,1,20260827,391.0,-1.26,4.04,6.16,0.74,20.0,17.38,-7.49,-6.19,0,False,False,407.29,424.48,422.75
600721,百花医药,医疗服务,1,20260827,15.16,1.34,9.89,33.84,1.06,10.03,6.99,14.42,10.5,3,True,True,14.24,14.08,11.85
000951,中国重汽,商用车,1,20260827,20.35,1.4,3.54,0.75,0.84,10.02,7.13,-3.87,-4.46,2,False,False,20.65,20.88,21.5
600359,新农开发,种植业,1,20260827,6.79,-0.29,3.52,4.52,0.75,10.01,7.22,3.51,3.19,0,True,True,6.67,6.54,6.3
002072,凯瑞德,贸易Ⅱ,2,20260827,8.09,10.07,10.2,8.14,5.67,10.01,-1.36,11.74,11.89,3,True,True,7.45,7.44,7.29
603618,杭电股份,电网设备,2,20260827,31.92,9.99,3.17,11.49,1.14,9.99,4.95,11.88,20.23,2,True,True,29.0,28.88,27.12
603261,立航科技,航空装备,1,20260827,53.39,6.78,7.4,3.67,2.04,10.0,3.02,5.37,5.79,2,False,True,50.77,52.49,50.62
300368,汇金股份,计算机设,1,20260827,8.02,3.08,9.9,8.88,1.95,19.95,-0.75,4.97,7.22,2,False,False,7.72,8.13,8.74
600095,湘财股份,证券Ⅱ,2,20260827,8.67,10.03,10.15,2.86,4.46,10.03,3.81,11.58,12.89,4,False,True,7.98,7.96,8.14
603938,三孚股份,化学原料,1,20260827,40.87,-1.73,4.88,2.53,0.6,10.01,-0.05,-5.31,-5.83,0,False,False,42.03,43.28,41.42
601869,长飞光纤,通信设备,1,20260827,388.02,-1.64,6.97,4.6,1.3,10.0,1.28,6.72,12.48,0,True,True,376.6,367.96,338.08
002953,日丰股份,电网设备,1,20260827,10.8,-1.19,3.39,8.11,0.69,10.0,-0.46,-0.18,-7.93,0,True,True,10.84,10.55,10.14
603002,宏昌电子,电子化学,1,20260827,15.37,-0.97,6.19,4.01,0.7,10.02,1.76,-6.96,-6.68,0,False,True,15.88,16.24,14.93
600683,京投发展,房地产开,1,20260827,10.04,-1.47,3.63,4.1,0.59,9.96,-0.1,0.3,3.72,0,False,True,10.15,10.75,9.85
603580,艾艾精工,塑料,1,20260827,73.2,-1.9,6.9,8.74,0.73,10.0,1.99,-9.38,7.66,0,True,True,75.24,67.29,61.0
000586,汇源通信,通信设备,1,20260827,13.1,1.24,5.26,4.54,1.65,10.0,-0.08,4.13,8.0,4,True,True,12.77,12.66,12.13
002980,华盛昌,电网设备,1,20260827,92.77,-1.85,7.85,8.3,0.68,10.0,2.19,-5.76,-2.07,0,False,True,95.54,96.32,85.95
002536,飞龙股份,汽车零部,1,20260827,49.3,-4.38,6.9,10.53,1.05,10.0,4.44,4.96,17.94,0,True,True,47.87,45.75,41.64
301399,英特科技,通用设备,1,20260827,17.7,1.55,6.94,8.79,2.09,20.0,-1.19,2.08,6.5,2,False,True,17.32,17.34,16.69
600108,亚盛集团,种植业,1,20260827,3.44,2.08,5.93,7.02,0.67,9.88,1.16,4.24,-1.43,2,True,True,3.36,3.34,3.24
600969,郴电国际,电力,2,20260827,9.5,9.95,10.65,4.43,2.72,10.0,-0.21,9.45,10.85,2,True,True,8.79,8.79,8.57
603137,恒尚节能,装修装饰,1,20260827,22.22,2.07,5.37,8.16,0.88,9.99,1.62,-5.0,-7.76,1,False,False,22.65,24.54,25.8
300456,赛微电子,半导体,1,20260827,30.88,-0.52,3.41,2.16,0.75,20.01,4.7,-1.62,-0.45,0,False,False,31.14,31.73,31.08
603435,嘉德利,电子化学,1,20260827,48.45,-1.44,3.86,3.89,0.6,10.01,0.93,-3.83,-6.56,0,False,False,49.43,51.64,51.31
688790,昂瑞微-UW,半导体,1,20260827,95.08,-0.12,2.59,1.89,0.87,20.0,9.26,-1.24,-1.56,0,False,False,95.46,98.4,96.4
301591,肯特股份,塑料,1,20260827,42.0,5.47,20.32,36.14,1.59,20.0,4.5,11.17,31.66,2,True,True,37.72,35.99,32.19
600397,江钨装备,专用设备,1,20260827,17.3,-1.48,4.67,7.79,0.78,10.0,-1.16,-4.63,2.0,0,False,True,17.54,17.77,16.68
