序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
34,600830,香溢融通,10.011919021606445,9.23,126299362,4193398954.8100004,4193399000.96,3.0825023651123047,112681196,094015,094421,1,1/1,1,多元金融,20260901
35,000564,供销大集,9.933774948120117,1.66,735570304,25057500011.5,29976385177.6,3.0075747966766357,430109486,094018,094018,0,1/1,1,一般零售,20260901
36,600785,新华百货,9.991312026977539,12.66,691653584,3999088806.7200003,3999088806.7200003,17.757551193237305,146366551,094102,100444,2,8/4,1,一般零售,20260901
37,002470,金正大,9.952607154846191,2.32,374638864,7622929947.44,7623584366.08,5.071969509124756,352446280,094412,094412,0,1/1,1,农化制品,20260901
38,002945,华林证券,10.013717651367188,16.04,814811824,43308000000.0,43308000000.0,1.9170441627502441,323365036,094542,105539,2,1/1,1,证券Ⅱ,20260901
39,002882,金龙羽,9.995372772216797,23.77,433667904,5870953203.26,10290033000.0,7.499398231506348,89078075,094648,104439,2,1/1,1,电网设备,20260901
40,600354,敦煌种业,10.012063026428223,9.12,1091604208,4813554969.599999,4813554969.599999,23.619428634643555,125525016,094832,094953,1,3/2,1,种植业,20260901
41,300189,神农种业,20.031795501708984,7.55,2286343200,6691190701.2,7731200000.0,36.43678665161133,483959152,094957,094957,0,1/1,1,种植业,20260901
42,920855,浙江大农,29.984542846679688,16.82,103119354,1127560843.02,1257014661.06,9.450465202331543,20946097,095040,095828,1,1/1,1,专用设备,20260901
43,605300,佳禾食品,10.051281929016113,10.73,80766857,4875696945.81,4875696892.16,1.6953507661819458,40113053,095055,095119,1,1/1,1,饮料乳品,20260901
44,600121,郑州煤电,9.979633331298828,5.4,822919584,6579425005.200001,6579424972.8,13.120882987976074,156957723,095308,095308,0,2/2,2,煤炭开采,20260901
45,002041,登海种业,10.0,11.88,768205008,10454400000.0,10454400000.0,7.623991012573242,327086789,095354,095354,0,1/1,1,种植业,20260901
46,000721,西安饮食,10.0,7.59,398907296,3888814737.72,4356009567.36,10.43515682220459,87384398,095524,100615,4,1/1,1,酒店餐饮,20260901
47,603123,翠微股份,10.010537147521973,10.44,525735808,6809760907.559999,8338810855.679999,7.881787300109863,251089308,095710,095710,0,1/1,1,多元金融,20260901
48,002703,浙江世宝,10.012063026428223,18.24,1322360160,10689516869.759998,15004814684.159998,12.907878875732422,349544355,095848,095848,0,6/3,1,汽车零部,20260901
49,603376,大明电子,10.003862380981445,28.48,132690537,911382784.0,11392028707.84,14.855506896972656,63225742,100101,100101,0,1/1,1,汽车零部,20260901
50,002721,金一文化,10.034602165222168,3.18,650977328,8456823995.700001,8456823973.440001,7.895667552947998,152889630,100257,101009,2,1/1,1,饰品,20260901
51,605068,明新旭腾,9.983810424804688,20.38,181672411,3305605328.1,3305605328.1,5.652440071105957,85127260,100421,101103,1,1/1,1,汽车零部,20260901
52,003040,楚天龙,10.0,19.58,1724013904,8945128051.64,9029042253.439999,20.256980895996094,319718276,100524,100524,0,8/6,1,通信设备,20260901
53,000998,隆平高科,10.044150352478027,9.97,842940032,13111053943.62,14650397198.080002,6.614274501800537,203469066,100527,100527,0,1/1,1,种植业,20260901
54,603293,埃泰克,10.011154174804688,39.45,192928435,1384557358.95,7065126458.1,14.287827491760254,72895710,100749,100749,0,1/1,1,汽车零部,20260901
